Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Dur	Nep	Ratio	Inter	startTime
1	3	0	0	1	3	2	0	1	2	2	3	1	1	2	0	3	4	0	0	0	2	0	0	0	545
1	3	0	0	1	3	2	1	1	2	2	3	1	1	2	0	3	4	0	0	0	2	0	0	0	605
4	4	3	0	2	3	2	1	0	0	0	3	1	0	2	4	4	3	4	0	0	3	0	0	0	450
2	3	2	0	1	3	1	1	1	2	1	4	4	4	3	0	2	2	3	0	0	3	0	0	0	460
2	3	2	0	1	3	1	0	1	1	2	4	4	4	3	0	2	2	3	0	0	1	0	0	0	515
4	3	1	0	1	2	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	2	0	0	0	470
0	3	0	0	1	2	2	1	1	2	2	5	5	4	5	0	3	3	1	0	0	2	1	1	0	550
0	3	0	0	1	2	2	0	1	2	2	5	5	4	5	0	3	3	1	0	0	2	1	2	2	505
3	2	0	0	1	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	0	0	0	510
3	3	1	0	1	3	2	1	1	2	1	1	0	0	0	5	5	5	5	0	0	2	0	0	0	470
1	3	1	0	0	2	2	1	1	2	1	5	5	4	4	3	0	2	4	0	0	1	0	0	0	450
1	2	0	0	2	3	0	1	1	2	0	1	0	1	1	3	4	2	3	0	0	1	0	0	0	530
2	1	0	0	2	3	0	0	1	2	0	3	4	2	2	4	3	3	3	0	0	1	0	0	0	515
1	3	2	0	1	3	1	1	1	2	1	5	4	4	4	0	0	1	1	0	0	2	0	0	0	546
4	3	1	0	0	1	1	0	1	1	1	0	0	0	0	5	5	5	5	0	0	3	0	0	0	490
1	1	0	0	1	3	0	1	1	2	1	5	5	4	5	0	1	1	0	0	0	3	0	0	0	540
3	1	0	0	0	1	1	0	1	2	0	1	2	3	2	4	4	4	4	0	0	1	0	0	0	545
3	2	2	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	1	3	1	438
4	3	1	0	0	1	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	0	0	0	0	510
1	3	1	0	1	3	1	1	1	2	2	1	3	4	2	4	5	2	3	0	0	4	0	0	0	505
1	3	1	0	0	3	1	0	1	2	2	1	3	4	2	4	5	2	3	0	0	2	0	0	0	500
0	1	0	0	1	1	0	1	0	1	2	5	5	5	5	0	0	2	1	0	0	0	0	0	0	475
1	1	2	0	1	3	1	1	1	2	2	5	4	4	5	3	2	3	4	0	0	3	0	0	0	470
2	3	0	0	0	3	1	1	1	2	2	4	4	4	2	0	2	2	0	0	0	4	0	0	0	410
2	3	0	0	0	3	1	0	1	2	2	4	4	4	2	0	2	2	0	0	0	2	0	0	0	555
2	3	0	0	1	3	2	0	1	2	0	0	4	4	0	5	5	4	5	0	0	2	0	0	0	530
2	3	1	0	1	2	1	1	1	2	1	3	1	1	2	4	3	0	4	0	0	3	0	0	0	470
2	3	1	0	1	2	1	0	1	1	2	3	1	1	2	4	3	0	4	0	0	3	0	0	0	530
0	1	0	0	1	3	1	0	1	2	0	5	5	5	5	0	1	1	0	0	0	2	0	0	0	495
0	1	0	0	0	0	0	0	0	2	0	5	4	4	5	1	1	0	1	0	0	2	0	0	0	540
0	4	0	0	3	1	1	1	1	0	0	1	1	1	3	4	3	3	2	0	0	0	0	0	0	585
