Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration	Ratio	Durbreak
4	3	1	0	1	1	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	2	2	33
3	3	0	0	2	3	2	1	1	2	1	2	0	0	0	0	5	5	5	0	0	1	1	52
3	3	0	0	2	3	2	0	1	1	2	2	0	0	0	0	5	5	5	0	0	1	1	52
3	2	0	0	1	3	2	1	1	2	0	1	1	0	0	5	5	5	5	0	0	3	3	25
2	4	3	0	1	1	1	1	1	0	0	1	3	1	2	4	3	5	0	0	0	2	3	31
4	3	0	0	0	2	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	1	1	165
1	3	0	0	2	3	2	0	1	2	2	3	1	1	3	4	3	3	3	0	0	2	1	48
1	3	3	0	1	3	2	0	1	1	2	5	4	4	2	0	0	2	4	0	0	3	3	60
0	1	0	0	1	0	1	0	1	2	0	5	5	5	5	2	2	2	3	0	0	2	1	12
4	3	2	0	1	3	1	0	1	1	2	1	0	0	0	5	4	5	5	0	0	0	2	120
3	0	0	0	3	2	2	1	1	0	0	0	0	0	0	5	5	5	5	0	0	1	1	105
4	3	2	0	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	0	3	280
2	3	0	0	1	3	2	1	1	2	2	0	3	2	1	4	4	4	2	0	0	2	3	30
2	3	0	0	0	3	1	1	1	2	2	2	1	0	2	4	3	2	4	0	0	2	1	15
0	2	1	0	1	1	1	1	1	2	0	5	5	5	5	2	2	2	1	0	0	4	4	20
2	2	3	0	2	3	2	1	1	2	0	1	1	0	2	2	2	5	0	0	0	2	3	60
4	3	0	0	1	1	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	2	2	60
2	3	0	0	0	3	1	1	1	2	2	3	3	3	4	2	2	2	3	0	0	2	2	57
3	2	0	0	2	3	2	0	1	0	2	0	0	0	0	5	5	5	5	0	0	0	3	12
3	3	0	0	0	3	2	0	1	2	2	4	4	4	1	4	1	2	4	0	0	1	1	90
2	2	2	0	1	2	1	1	1	2	0	4	4	1	1	1	3	2	4	0	0	0	2	180
0	2	1	0	1	3	1	1	1	2	0	5	4	4	5	4	3	2	2	0	0	3	1	30
1	3	1	0	1	3	1	0	1	1	2	4	4	2	3	0	0	0	4	0	0	4	4	160
1	3	2	0	1	1	2	1	1	2	1	4	4	1	3	3	4	4	4	0	0	4	4	129
2	3	0	0	1	2	2	0	1	1	1	0	0	3	0	5	5	0	5	0	0	2	3	255
4	2	0	0	2	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	3	2	55
4	3	3	0	1	3	1	0	0	1	2	0	0	2	0	5	5	3	5	0	0	2	2	40
2	3	0	0	2	3	2	1	1	2	1	0	3	2	1	4	4	4	2	0	0	2	1	60
4	3	1	0	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	0	165
2	2	0	0	2	2	1	0	0	1	0	4	3	2	3	3	3	3	4	0	0	1	3	15
4	2	0	0	2	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	1	75
3	2	2	0	1	1	1	1	1	2	0	1	0	0	0	5	5	5	5	0	0	4	3	35
