Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration	Ratio	
3	4	0	0	2	1	1	1	1	0	0	1	0	0	0	5	5	5	5	0	0	1	38
2	3	2	0	1	3	1	1	1	2	1	1	1	3	1	0	5	5	0	0	0	2	65
4	2	0	0	1	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	40
1	3	0	0	0	3	1	1	1	2	2	3	2	1	2	0	3	1	2	0	0	2	44
0	1	3	0	1	1	1	1	1	2	2	1	4	4	1	4	3	2	4	0	0	1	63
0	2	0	0	1	3	2	1	1	2	0	5	5	4	5	2	2	2	3	0	0	4	62
0	2	0	0	1	3	2	0	1	0	2	5	5	4	5	2	2	2	3	0	0	4	61
3	1	0	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	52
3	1	0	0	1	3	1	1	1	2	1	1	0	0	0	5	5	5	5	0	0	1	38
4	3	0	0	1	3	2	0	1	1	2	1	0	0	0	2	5	5	5	0	0	2	45
4	2	0	0	2	3	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	68
3	3	3	0	1	3	1	1	1	2	1	3	1	1	2	3	2	2	4	0	0	2	51
1	2	2	0	1	2	1	1	1	2	0	5	4	4	2	3	3	2	4	0	0	3	50
3	3	3	0	1	3	1	0	1	1	2	1	0	0	1	0	0	0	1	0	0	2	38
4	3	1	0	1	1	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	2	49
3	3	0	0	2	3	2	1	1	2	1	2	0	0	0	0	5	5	5	0	0	1	46
3	3	0	0	2	3	2	0	1	1	2	2	0	0	0	0	5	5	5	0	0	1	46
3	2	0	0	1	3	2	1	1	2	0	1	1	0	0	5	5	5	5	0	0	3	64
2	4	3	0	1	1	1	1	1	0	0	1	3	1	2	4	3	5	0	0	0	2	56
4	3	0	0	0	2	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	1	46
1	3	0	0	2	3	2	0	1	2	2	3	1	1	3	4	3	3	3	0	0	2	43
1	3	3	0	1	3	2	0	1	1	2	5	4	4	2	0	0	2	4	0	0	3	67
0	1	0	0	1	0	1	0	1	2	0	5	5	5	5	2	2	2	3	0	0	2	48
4	3	2	0	1	3	1	0	1	1	2	1	0	0	0	5	4	5	5	0	0	0	52
3	0	0	0	3	2	2	1	1	0	0	0	0	0	0	5	5	5	5	0	0	1	41
4	3	2	0	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	0	59
2	3	0	0	1	3	2	1	1	2	2	0	3	2	1	4	4	4	2	0	0	2	66
2	3	0	0	0	3	1	1	1	2	2	2	1	0	2	4	3	2	4	0	0	2	48
0	2	1	0	1	1	1	1	1	2	0	5	5	5	5	2	2	2	1	0	0	4	83
2	2	3	0	2	3	2	1	1	2	0	1	1	0	2	2	2	5	0	0	0	2	57
4	3	0	0	1	1	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	2	55
2	3	0	0	0	3	1	1	1	2	2	3	3	3	4	2	2	2	3	0	0	2	55
3	2	0	0	2	3	2	0	1	0	2	0	0	0	0	5	5	5	5	0	0	0	59
3	3	0	0	0	3	2	0	1	2	2	4	4	4	1	4	1	2	4	0	0	1	42
2	2	2	0	1	2	1	1	1	2	0	4	4	1	1	1	3	2	4	0	0	0	50
0	2	1	0	1	3	1	1	1	2	0	5	4	4	5	4	3	2	2	0	0	3	48
1	3	1	0	1	3	1	0	1	1	2	4	4	2	3	0	0	0	4	0	0	4	75
1	3	2	0	1	1	2	1	1	2	1	4	4	1	3	3	4	4	4	0	0	4	83
2	3	0	0	1	2	2	0	1	1	1	0	0	3	0	5	5	0	5	0	0	2	67
4	2	0	0	2	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	3	53
4	3	3	0	1	3	1	0	0	1	2	0	0	2	0	5	5	3	5	0	0	2	53
2	3	0	0	2	3	2	1	1	2	1	0	3	2	1	4	4	4	2	0	0	2	48
4	3	1	0	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	22
2	2	0	0	2	2	1	0	0	1	0	4	3	2	3	3	3	3	4	0	0	1	56
4	2	0	0	2	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	46
3	2	2	0	1	1	1	1	1	2	0	1	0	0	0	5	5	5	5	0	0	4	66
0	1	0	0	1	3	1	0	1	2	1	5	5	5	5	2	1	2	3	0	0	1	29
4	2	1	0	0	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	30
3	3	1	0	1	1	1	1	1	2	1	3	4	2	2	0	1	1	4	0	0	4	71
3	3	1	0	1	1	1	0	1	1	2	3	4	2	2	0	1	1	4	0	0	1	53
3	3	2	0	1	2	2	1	1	2	2	2	1	1	1	4	4	3	4	0	0	1	61
3	1	3	0	1	3	1	1	1	2	2	4	4	2	2	0	1	1	4	0	0	4	75
3	2	1	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	54
2	3	3	0	1	3	0	0	0	2	2	3	3	1	2	4	3	3	3	0	0	3	44
0	3	2	0	1	2	1	0	1	2	1	5	5	4	5	2	1	2	3	0	0	2	54
4	2	1	0	1	2	2	1	1	2	0	1	0	0	0	4	5	5	5	0	0	2	53
1	3	0	0	1	1	1	1	1	2	1	0	0	0	0	5	5	5	4	0	0	4	83
2	3	1	0	0	2	2	0	1	1	2	4	4	4	3	2	2	2	3	0	0	2	35
3	2	3	0	1	3	2	1	1	2	0	1	0	0	1	0	0	2	3	0	0	3	30
0	1	0	0	1	2	0	1	0	2	0	5	5	5	5	0	1	1	0	0	0	0	33
1	3	0	0	1	2	1	0	1	2	2	4	4	3	2	4	4	3	4	0	0	2	56
4	3	2	0	1	2	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	0	21
4	2	0	0	2	3	2	1	1	2	0	1	0	0	0	5	5	5	5	0	0	2	63
4	3	2	0	1	2	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	4	66
2	2	3	0	1	3	2	1	1	2	0	0	3	1	0	4	5	4	5	0	0	2	48
0	3	1	0	0	2	1	0	1	1	2	1	0	0	1	4	3	5	1	0	0	2	62
4	3	1	0	0	3	2	0	1	1	2	0	0	0	0	5	5	5	5	0	0	1	46
